data,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Wed Sep 18 16:54:32 +0000 2019,0,1174366102564081664,,0,@Clemasmfc03 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:48:02 +0000 2019,0,1174364468270313473,,0,"@pierrot31150 Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 16:48:01 +0000 2019,0,1174364462876450817,,0,"@DarkTapas Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 16:47:01 +0000 2019,0,1174364211134304256,,0,"@steph_dubois Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 16:45:14 +0000 2019,0,1174363764604489728,,0,"@aure79lien Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 16:43:45 +0000 2019,0,1174363390501933059,,0,"@ThomasPascual Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 16:42:27 +0000 2019,0,1174363064726151168,,0,@lenaic13051 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 16:42:18 +0000 2019,0,1174363027061301248,,1,"@GSwello Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 16:42:05 +0000 2019,2,1174362969083469824,,0,@LesPostsdAlex Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 16:40:59 +0000 2019,0,1174362694025195525,,0,@lenaic13051 Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Wed Sep 18 16:40:49 +0000 2019,0,1174362650396041218,,0,@yvohh Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 16:40:40 +0000 2019,0,1174362615860146177,,0,@EternelSoleil Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
